song_name,timestamp,ax,ay,az,gx,gy,gz,la,rs,tp
telephone,2026-09-01 15:37:32,0.1331,-0.0293,-0.9922,0.0002,0.0007,-0.0049,0.0015000000000000568,0.005,0.0065
telephone,2026-09-01 15:37:32,0.1331,-0.03,-0.9893,0.0002,0.0005,-0.0049,0.0012999999999999678,0.0049,0.0062
telephone,2026-09-01 15:37:32,0.1326,-0.0295,-0.988,0.0005,0.0007,-0.0046,0.0027000000000000357,0.0047,0.0074
telephone,2026-09-01 15:37:32,0.1333,-0.0305,-0.9878,0.0005,0.0007,-0.0049,0.0028000000000000247,0.005,0.0078
telephone,2026-09-01 15:37:32,0.134,-0.0298,-0.9919,0.0,0.0005,-0.0049,0.0014000000000000679,0.0049,0.0063
telephone,2026-09-01 15:37:32,0.1316,-0.0293,-0.9834,0.0005,0.0005,-0.0046,0.007399999999999962,0.0047,0.0121
telephone,2026-09-01 15:37:32,0.1338,-0.0305,-0.9893,0.0,0.0005,-0.0049,0.0011999999999999789,0.0049,0.0061
telephone,2026-09-01 15:37:32,0.1323,-0.0291,-0.9885,0.0002,0.0002,-0.0046,0.0022999999999999687,0.0046,0.0069
telephone,2026-09-01 15:37:32,0.1323,-0.0278,-0.9868,-0.0007,0.0007,-0.0049,0.0040000000000000036,0.005,0.009
telephone,2026-09-01 15:37:32,0.1321,-0.0283,-0.9868,0.0,0.0005,-0.0049,0.0040000000000000036,0.0049,0.0089
telephone,2026-09-01 15:37:33,0.1335,-0.0325,-0.9915,0.0049,0.0015,-0.0046,0.0009999999999998899,0.0069,0.0079
telephone,2026-09-01 15:37:33,0.1326,-0.0298,-0.9878,0.0002,0.0007,-0.0049,0.0029000000000000137,0.005,0.0079
telephone,2026-09-01 15:37:33,0.1333,-0.0298,-0.9888,0.0002,0.0005,-0.0046,0.0018000000000000238,0.0046,0.0064
telephone,2026-09-01 15:37:33,0.1345,-0.03,-0.9885,0.0002,0.0007,-0.0049,0.0019000000000000128,0.005,0.0069
telephone,2026-09-01 15:37:33,0.1333,-0.0295,-0.9885,0.0,0.0007,-0.0049,0.0020999999999999908,0.0049,0.007
telephone,2026-09-01 15:37:33,0.1323,-0.0298,-0.9883,0.0005,0.0005,-0.0046,0.0023999999999999577,0.0047,0.0071
telephone,2026-09-01 15:37:33,0.1326,-0.0293,-0.9888,0.0002,0.0005,-0.0051,0.0019000000000000128,0.0051,0.007
telephone,2026-09-01 15:37:33,0.1331,-0.0298,-0.9888,0.0002,0.0007,-0.0046,0.0018000000000000238,0.0047,0.0065
